Speaker	Vowel	Time	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
8	EH	t2	597.3760585	1724.995416	2582.874335	26.72233129	57.48879196	125.9898631	714.0829895	3304.961201	15873.4456	169.735693	146.9844933	2117.055102
8	EH	t3	594.4097528	1721.569266	2583.073225	19.33761323	53.74780016	98.67314849	373.9432855	2888.826022	9736.390233	181.1485198	-238.9307008	185.4205018
8	IH	t1	479.7071481	1846.889928	2629.700231	49.19834526	72.4216521	139.9419954	2420.477176	5244.895693	19583.76208	30.2125238	201.0258196	7595.523849
8	IH	t2	467.4314557	1857.884568	2672.781331	51.4860376	80.70014434	85.43516688	2650.812068	6512.513296	7299.16774	-2673.576389	-575.2623562	3559.026312
8	IH	t3	462.6406568	1838.455755	2626.564836	30.07021645	38.02240991	77.95121234	904.2179174	1445.703655	6076.391505	-107.5182506	657.7031815	-27.29712679
8	OO	t1	484.2030299	1254.592553	2677.559347	104.7306503	148.8780637	125.2524823	10968.50911	22164.67784	15688.18432	14091.84845	12481.34905	16722.61791
8	OO	t2	461.7893608	1146.429474	2664.624473	101.9608002	127.0425336	93.82458759	10396.00479	16139.80535	8803.053236	11632.56128	7965.492812	8406.447449
8	OO	t3	448.8838729	1125.103968	2633.511927	108.1880953	133.1462017	121.7128292	11704.66396	17727.91102	14814.01278	13390.3083	10590.11416	12392.15219
8	UH	t1	665.2510994	1316.457838	2646.361002	61.17087228	85.57944474	140.6747227	3741.875615	7323.841363	19789.37761	3789.824511	3468.441435	6366.252676
8	UH	t2	625.8761444	1274.008734	2684.917621	56.97663513	56.40347915	87.56733945	3246.336951	3181.35246	7668.038939	1496.310918	3081.313316	1364.237533
8	UH	t3	613.0456971	1264.034585	2670.7608	40.60998685	51.2648592	58.70698759	1649.171032	2628.085789	3446.510392	1117.884636	52.68588922	178.0069656
